+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |       NEW |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |       NEW |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |       NEW |
|                 0 |  3 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                10 |  1 |   RUNNING |   WAITING |
|                10 |  2 |     READY |   RUNNING |
|                15 |  2 |   RUNNING |   WAITING |
|                15 |  1 |   WAITING |     READY |
|                15 |  1 |     READY |   RUNNING |
|                18 |  2 |   WAITING |     READY |
|                25 |  1 |   RUNNING |   WAITING |
|                25 |  2 |     READY |   RUNNING |
|                30 |  1 |   WAITING |     READY |
|                30 |  2 |   RUNNING |     READY |
|                30 |  1 |     READY |   RUNNING |
|                40 |  1 |   RUNNING |   WAITING |
|                40 |  2 |     READY |   RUNNING |
|                45 |  1 |   WAITING |     READY |
|                45 |  2 |   RUNNING |     READY |
|                45 |  1 |     READY |   RUNNING |
|                46 |  1 |   RUNNING |TERMINATED |
|                46 |  2 |     READY |   RUNNING |
|                51 |  2 |   RUNNING |TERMINATED |
|                51 |  3 |     READY |   RUNNING |
|                61 |  3 |   RUNNING |TERMINATED |
+------------------------------------------------+
